,,,,,,,
Index,Rank,Name,Industry, Revenue (USD millions) ,Revenue growth, Employees ,Headquarters
29,30,Meta Platforms,Technology," $134,902 ",16%," 67,317 ","Menlo Park, California"
30,31,Verizon Communications,Telecommunications," $133,974 ",-2%," 105,400 ","New York City, New York"
31,32,AT&T,Conglomerate and telecommunications," $122,428 ",1%," 150,470 ","Dallas, Texas"
32,33,Comcast,Telecommunications," $121,572 ",0%," 186,000 ","Philadelphia, Pennsylvania"
33,34,Wells Fargo,Financials," $115,340 ",39%," 226,000 ","San Francisco, California"
34,35,Goldman Sachs,Financials," $108,418 ",58%," 45,300 ","New York City, New York"
35,36,Freddie Mac,Financials," $108,050 ",25%," 8,020 ","McLean, Virginia"
36,37,Target Corporation,Retail," $107,412 ",-2%," 415,000 ","Minneapolis, Minnesota"
37,38,Humana,Health insurance," $106,374 ",15%," 67,600 ","Louisville, Kentucky"
38,39,State Farm,Financials," $104,199 ",17%," 65,054 ","Bloomington, Illinois"
39,40,Tesla,Automotive and energy," $96,773 ",19%," 140,473 ","Austin, Texas"
40,41,Morgan Stanley,Financials," $96,194 ",46%," 80,006 ","New York City, New York"
41,42,Johnson & Johnson,Pharmaceutical industry," $95,195 ",0%," 131,900 ","New Brunswick, New Jersey"
42,43,Archer Daniels Midland,Food industry," $93,935 ",-8%," 41,008 ","Chicago, Illinois"
43,44,PepsiCo,Beverage," $91,471 ",6%," 318,000 ","Purchase, New York"
44,45,United Parcel Service,Transportation," $90,958 ",-9%," 382,550 ","Atlanta, Georgia"
45,46,FedEx,Transportation," $90,155 ",-4%," 446,400 ","Memphis, Tennessee"
46,47,The Walt Disney Company,Media," $88,898 ",8%," 199,125 ","Burbank, California"
47,48,Dell Technologies,Technology," $88,425 ",-14%," 120,000 ","Round Rock, Texas"
48,49,Lowe's,Retail," $86,377 ",-11%," 226,000 ","Mooresville, North Carolina"
49,50,Procter & Gamble,Consumer products manufacturing," $82,006 ",2%," 107,000 ","Cincinnati, Ohio"
50,51,Energy Transfer Partners,Petroleum industry," $78,586 ",-13%," 13,786 ","Dallas, Texas"
51,52,Boeing,Aerospace and defense," $77,794 ",17%," 171,000 ","Arlington County, Virginia"
52,53,Albertsons,Retail," $77,650 ",8%," 198,650 ","Boise, Idaho"
53,54,Sysco,Food service," $76,325 ",11%," 71,750 ","Houston, Texas"
54,55,RTX Corporation,Conglomerate," $68,920 ",3%," 185,000 ","Arlington County, Virginia"
55,56,General Electric,Conglomerate," $67,954 ",-11%," 125,000 ","Boston, Massachusetts"
56,57,Lockheed Martin,Aerospace and defense," $67,571 ",2%," 122,000 ","Bethesda, Maryland"
57,58,American Express,Financial," $67,364 ",21%," 74,600 ","New York City, New York"
58,59,Caterpillar,Machinery," $67,060 ",13%," 113,200 ","Deerfield, Illinois"
59,60,MetLife,Financials," $66,905 ",-4%," 45,000 ","New York City, New York"
60,61,HCA Healthcare,Healthcare," $64,968 ",8%," 265,000 ","Nashville, Tennessee"
61,62,Progressive Corporation,Insurance," $62,109 ",25%," 61,432 ","Mayfield Village, Ohio"
62,63,IBM,Technology and cloud computing," $61,860 ",-16%," 296,600 ","Armonk, New York"
63,64,John Deere,Agriculture manufacturing," $61,251 ",17%," 82,956 ","Moline, Illinois"
64,65,Nvidia,Technology," $60,922 ",126%," 29,600 ","Santa Clara, California"
65,66,StoneX Group,Financials," $60,856 ",-8%," 4,137 ","New York City, New York"
66,67,Merck & Co.,Pharmaceutical industry," $60,115 ",1%," 71,000 ","Kenilworth, New Jersey"
67,68,ConocoPhillips,Petroleum industry," $58,574 ",-29%," 9,900 ","Houston, Texas"
68,69,Pfizer,Pharmaceutical industry," $58,496 ",-42%," 88,000 ","New York City, New York"
69,70,Delta Air Lines,Airline," $58,048 ",15%," 103,000 ","Atlanta, Georgia"
70,71,TD Synnex,Infotech," $57,555 ",-8%," 28,000 ","Clearwater, Florida"
71,72,Publix,Retail," $57,534 ",5%," 253,000 ","Lakeland, Florida"
72,73,Allstate,Insurance," $57,094 ",11%," 53,200 ","Northfield Township, Cook County, Illinois"
73,74,Cisco,Telecom hardware manufacturing," $56,998 ",11%," 84,900 ","San Jose, California"
74,75,Nationwide Mutual Insurance Company,Financial," $54,609 ",6%," 24,118 ","Columbus, Ohio"
75,76,Charter Communications,Telecommunications," $54,607 ",1%," 101,100 ","Stamford, Connecticut"
76,77,AbbVie,Pharmaceutical industry," $54,317 ",-6%," 50,000 ","Lake Bluff, Illinois"
77,78,New York Life Insurance Company,Insurance," $54,317 ",14%," 15,384 ","New York City, New York"
78,79,Intel,Technology," $54,228 ",-14%," 124,800 ","Santa Clara, California"
79,80,TJX,Retail," $49,936 ",3%," 329,000 ","Framingham, Massachusetts"
80,81,Prudential Financial,Financials," $53,979 ",-10%," 40,366 ","Newark, New Jersey"
81,82,HP,Technology," $53,718 ",-15%," 58,000 ","Palo Alto, California"
82,83,United Airlines,Airline," $53,717 ",20%," 103,300 ","Chicago, Illinois"
83,84,Performance Food Group,Food processing," $53,355 ",13%," 34,825 ","Richmond, Virginia"
84,85,Tyson Foods,Food processing," $52,788 ",-1%," 139,000 ","Springdale, Arkansas"
85,86,American Airlines,Airline," $52,788 ",8%," 132,100 ","Fort Worth, Texas"
86,87,Liberty Mutual,Insurance," $52,612 ",5%," 45,000 ","Boston, Massachusetts"
87,88,Nike,Apparel," $51,217 ",10%," 83,700 ","Beaverton, Oregon"
88,89,Oracle Corporation,Technology," $49,954 ",18%," 164,000 ","Austin, Texas"
89,90,Enterprise Products,Petroleum industry," $49,715 ",-15%," 7,500 ","Houston, Texas"
90,91,Capital One Financial,Financials," $49,484 ",29%," 51,987 ","Richmond, Virginia"
91,92,Plains All American Pipeline,Petroleum industry," $48,712 ",-15%," 4,200 ","Houston, Texas"
92,93,World Kinect Corporation,Energy trading," $47,711 ",-19%," 5,289 ","Doral, Florida"
93,94,AIG,Insurance," $46,802 ",-17%," 25,200 ","New York City, New York"
94,95,Coca-Cola,Beverage," $45,754 ",6%," 79,100 ","Atlanta, Georgia"
95,96,TIAA,Financials," $45,735 ",12%," 16,023 ","New York City, New York"
96,97,CHS,Agriculture cooperative," $45,590 ",-5%," 10,609 ","Inver Grove Heights, Minnesota"
97,98,Bristol-Myers Squibb,Pharmaceutical industry," $45,006 ",-3%," 34,100 ","New York City, New York"
98,99,Dow Chemical Company,Chemical industry," $44,622 ",-22%," 35,900 ","Midland, Michigan"
99,100,Best Buy,Retail," $43,452 ",-6%," 85,000 ","Richfield, Minnesota"
